course,subjects&teachers
GA1,"SOZ:MSZ,LIT:KRO,GCH:RI0,DEU1:SHA,DEU2:SHA"
GF1,"SOZ:MSZ,LIT:KRO,GCH:SD0,DEU1:SCH,DEU2:SCH"
WA1,"GEO:OST,BWL:RE0,VWL:MSZ,MTH:BU0,DEU1:BU0,DEU2:SCH"
WF1,"GEO:OST,BWL:RE0,VWL:MSZ,MTH:KYF,DEU1:SHA,DEU2:RI0"
TF1,"INF:TAV,CHE:vBl,PHY:VOR,GMT:VOR,ANA:TAV,DEU1:BU0,DEU2:RE0"
TF2,"INF:KYF,CHE:MTC,PHY:SD0,GMT:WDR,ANA:KEM,DEU1:SHA,DEU2:WG0"
TA1,"INF:TAV,CHE:KRZ,PHY:VOR,GMT:VOR,ANA:KYF,DEU1:RI0,DEU2:WG0"
TA2,"INF:KYF,CHE:KRZ,PHY:SD0,GMT:KRZ,ANA:KEM,DEU1:OST,DEU2:OST"
MA1,"CHE:KRZ,PHY:KEM,BIO:vBl,MTH:TAV,DEU1:RE0,DEU2:RI0"
MF1,"CHE:vBl,PHY:KEM,BIO:vBl,MTH:BU0,DEU1:WG0,DEU2:WG0"
