GF1,---,---,---,---
days,Block1,Block2,Block3,Block4
Mo,LIT:KRO,DEU1:RI0,GCH:RE0,-
Di,SOZ:MSZ,DEU2:VOR,-,-
Mi,SOZ:MSZ,LIT:KRO,DEU2:VOR,-
Do,SOZ:MSZ,DEU1:RI0,GCH:RE0,DEU2:VOR
Fr,LIT:KRO,DEU1:RI0,GCH:RE0,-
MF1,---,---,---,---
days,Block1,Block2,Block3,Block4
Mo,DEU2:WG0,MTH:WDR,PHY:KEM,BIO:MTC
Di,DEU2:WG0,DEU1:vBl,PHY:KEM,-
Mi,DEU1:vBl,CHE:MTC,BIO:MTC,-
Do,DEU2:WG0,MTH:WDR,CHE:MTC,-
Fr,MTH:WDR,DEU1:vBl,PHY:KEM,BIO:MTC
TF1,---,---,---,---
days,Block1,Block2,Block3,Block4
Mo,DEU2:BU0,PHY:SD0,ANA:KRZ,-
Di,GMT:KYF,CHE:MTC,DEU1:SHA,-
Mi,PHY:SD0,ANA:KRZ,DEU1:SHA,-
Do,DEU2:BU0,GMT:KYF,INF:KYF,DEU1:SHA
Fr,DEU2:BU0,PHY:SD0,CHE:MTC,INF:KYF
TF2,---,---,---,---
days,Block1,Block2,Block3,Block4
Mo,DEU2:vBl,DEU1:BU0,CHE:MTC,-
Di,DEU2:vBl,DEU1:BU0,PHY:KEM,CHE:MTC
Mi,ANA:KRZ,ANA:KRZ,INF:TAV,INF:TAV
Do,DEU1:BU0,GMT:KRZ,PHY:KEM,-
Fr,DEU2:vBl,GMT:KRZ,PHY:KEM,-
WF2,---,---,---,---
days,Block1,Block2,Block3,Block4
Mo,GEO:OST,MTH:KRZ,VWL:MSZ,-
Di,DEU1:WG0,GEO:OST,BWL:RE0,-
Mi,DEU1:WG0,BWL:RE0,MTH:KRZ,VWL:MSZ
Do,MTH:KRZ,VWL:MSZ,DEU2:RI0,DEU2:RI0
Fr,DEU1:WG0,GEO:OST,DEU2:RI0,-
GA1,---,---,---,---
days,Block1,Block2,Block3,Block4
Mo,GCH:RE0,SOZ:MSZ,-,-
Di,DEU2:BU0,SOZ:MSZ,LIT:KRO,-
Mi,GCH:RE0,DEU2:BU0,DEU1:VOR,-
Do,SOZ:MSZ,LIT:KRO,DEU1:VOR,-
Fr,GCH:RE0,DEU2:BU0,LIT:KRO,DEU1:VOR
MA1,---,---,---,---
days,Block1,Block2,Block3,Block4
Mo,BIO:MTC,CHE:KRZ,DEU1:SHA,PHY:SD0
Di,DEU2:vBl,PHY:SD0,MTH:KRZ,-
Mi,BIO:MTC,CHE:KRZ,DEU2:vBl,PHY:SD0
Do,BIO:MTC,DEU1:SHA,MTH:KRZ,-
Fr,DEU2:vBl,DEU1:SHA,MTH:KRZ,-
TA1,---,---,---,---
days,Block1,Block2,Block3,Block4
Mo,DEU2:RE0,CHE:KRZ,DEU1:SCH,-
Di,GMT:WDR,ANA:KYF,INF:KYF,PHY:KEM
Mi,GMT:WDR,ANA:KYF,PHY:KEM,DEU1:SCH
Do,INF:KYF,DEU2:RE0,DEU1:SCH,-
Fr,PHY:KEM,DEU2:RE0,CHE:KRZ,-
TA2,---,---,---,---
days,Block1,Block2,Block3,Block4
Mo,PHY:KEM,INF:TAV,CHE:MTC,-
Di,PHY:KEM,DEU2:BU0,ANA:KRZ,DEU1:WG0
Mi,GMT:WDR,INF:TAV,CHE:MTC,ANA:KRZ
Do,DEU2:BU0,DEU1:WG0,DEU1:WG0,-
Fr,GMT:WDR,PHY:KEM,DEU2:BU0,-
WA2,---,---,---,---
days,Block1,Block2,Block3,Block4
Mo,MTH:WDR,VWL:MSZ,GEO:OST,DEU1:RI0
Di,MTH:WDR,VWL:MSZ,BWL:RE0,-
Mi,DEU2:vBl,MTH:WDR,GEO:OST,BWL:RE0
Do,DEU2:vBl,GEO:OST,DEU1:RI0,-
Fr,DEU2:vBl,VWL:MSZ,DEU1:RI0,-
